"covid","466890","5815","3413","1048","11897"
"school","5815","12101","47","21","1827"
"food","3413","47","6248","62","142"
"water","1048","21","62","2303","49"
"reopen","11897","1827","142","49","22693"
"","","","","",""
"2020-05-16","covid","school","food","water","reopen"
"covid","368646","3640","2311","813","8995"
"school","3640","8138","25","6","1119"
"food","2311","25","4237","88","115"
"water","813","6","88","1677","47"
"reopen","8995","1119","115","47","16266"
"","","","","",""
"2020-05-17","covid","school","food","water","reopen"
"covid","363932","3322","2117","770","9369"
"school","3322","7907","29","8","1324"
"food","2117","29","3770","55","82"
"water","770","8","55","1646","30"
"reopen","9369","1324","82","30","16603"
"","","","","",""
"2020-05-18","covid","school","food","water","reopen"
"covid","455422","4557","2540","1261","13157"
"school","4557","9981","39","10","1570"
"food","2540","39","4737","67","89"
"water","1261","10","67","2643","36"
"reopen","13157","1570","89","36","24247"
"","","","","",""
"2020-05-19","covid","school","food","water","reopen"
"covid","426954","4598","3171","989","12321"
"school","4598","10823","44","25","1828"
"food","3171","44","5609","60","141"
"water","989","25","60","2080","90"
"reopen","12321","1828","141","90","23080"
"","","","","",""
"2020-05-20","covid","school","food","water","reopen"
"covid","443612","4620","2788","943","11874"
"school","4620","10573","66","19","1656"
"food","2788","66","5079","63","118"
"water","943","19","63","1979","32"
"reopen","11874","1656","118","32","23203"
"","","","","",""
